what,kind,bundleId,bundleVersion,description,time
started,bundle,org.sparx.mdg.eclipse.cdt,4.0.0,"org.sparx.mdg.eclipse.cdt",1453325910184
os,sysinfo,,,"win32",1453325910188
arch,sysinfo,,,"x86_64",1453325910188
ws,sysinfo,,,"win32",1453325910188
locale,sysinfo,,,"ru_RU",1453325910188
processors,sysinfo,,,"4",1453325910188
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1453325910188
java.runtime.version,sysinfo,,,"1.8.0_66-b18",1453325910188
java.specification.name,sysinfo,,,"Java Platform API Specification",1453325910188
java.specification.vendor,sysinfo,,,"Oracle Corporation",1453325910188
java.specification.version,sysinfo,,,"1.8",1453325910188
java.vendor,sysinfo,,,"Oracle Corporation",1453325910188
java.version,sysinfo,,,"1.8.0_66",1453325910188
java.vm.info,sysinfo,,,"mixed mode",1453325910188
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1453325910188
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1453325910188
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1453325910188
java.vm.specification.version,sysinfo,,,"1.8",1453325910188
java.vm.vendor,sysinfo,,,"Oracle Corporation",1453325910188
java.vm.version,sysinfo,,,"25.66-b18",1453325910188
started,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1453325921827
started,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1453325921845
started,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1453325921888
started,bundle,org.eclipse.equinox.http.servlet,1.1.200.v20110502,"org.eclipse.equinox.http.servlet",1453325921919
started,bundle,org.eclipse.equinox.http.registry,1.1.100.v20110502,"org.eclipse.equinox.http.registry",1453325922045
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453325922206
started,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.200.v20100503,"org.eclipse.equinox.jsp.jasper.registry",1453325922341
started,bundle,org.eclipse.equinox.jsp.jasper,1.0.300.v20110502,"org.eclipse.equinox.jsp.jasper",1453325922344
started,bundle,org.eclipse.help.webapp,3.6.1.r37_20110929,"org.eclipse.help.webapp",1453325922944
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453325927667
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453325930121
